,task_source,task_target,method,mae,r2,random_state
1,rest,passive,align_z_score,11.416945868094357,0.4282405140575474,23483
2,rest,passive,align_recenter,9.676895782461813,0.5820013883826374,23483
3,rest,passive,align_recenter_rescale,9.422088500972777,0.6078393356927829,23483
4,rest,passive,align_procrustes_paired,6.735469732996451,0.7909878439606559,23483
5,rest,passive,dummy,15.843026521060844,0.0,23483
0,rest,passive,no_alignment,10.145130199346223,0.5450318662297664,48555
1,rest,passive,align_z_score,10.31109945915486,0.5319807599072075,48555
2,rest,passive,align_recenter,9.101172516364395,0.6294592191175743,48555
3,rest,passive,align_recenter_rescale,9.575092403865249,0.58512912598002,48555
4,rest,passive,align_procrustes_paired,7.776689895373236,0.7022810379685134,48555
5,rest,passive,dummy,15.980202808112326,0.0,48555
0,rest,passive,no_alignment,11.749530736537821,0.4114745671488361,17159
1,rest,passive,align_z_score,10.972623876448667,0.4531041480260444,17159
2,rest,passive,align_recenter,11.587089770814055,0.38161208913282396,17159
3,rest,passive,align_recenter_rescale,10.1671255130392,0.5234198910639749,17159
4,rest,passive,align_procrustes_paired,7.796207189099247,0.7166900920145958,17159
5,rest,passive,dummy,15.866271450858033,0.0,17159
0,rest,passive,no_alignment,15.366368137544814,0.009505583228848868,80077
1,rest,passive,align_z_score,10.40578255820335,0.5206744010448661,80077
2,rest,passive,align_recenter,10.811751320674585,0.4662014248276767,80077
3,rest,passive,align_recenter_rescale,8.908107731178367,0.6388850153877191,80077
4,rest,passive,align_procrustes_paired,6.284236908734826,0.8158377303688625,80077
5,rest,passive,dummy,15.790062402496101,0.0,80077
0,rest,passive,no_alignment,22.208087797735548,-0.938482411280791,35920
1,rest,passive,align_z_score,11.558534444943186,0.38219311525925626,35920
2,rest,passive,align_recenter,9.900918776708552,0.5397154159519695,35920
3,rest,passive,align_recenter_rescale,9.995967926182248,0.5220910491344612,35920
4,rest,passive,align_procrustes_paired,7.383009640186473,0.721296777064393,35920
5,rest,passive,dummy,15.74449297971919,0.0,35920
0,rest,passive,no_alignment,17.202887980052438,-0.2699444739049883,92067
1,rest,passive,align_z_score,11.082084266204689,0.451428894102078,92067
2,rest,passive,align_recenter,11.987319262464075,0.35985891885299437,92067
3,rest,passive,align_recenter_rescale,11.995103562085994,0.39062397198789045,92067
4,rest,passive,align_procrustes_paired,9.3909944612245,0.612774089379406,92067
5,rest,passive,dummy,15.880530421216847,0.0,92067
0,rest,passive,no_alignment,17.034293306685615,-0.2122378159978784,67121
1,rest,passive,align_z_score,11.429085570288919,0.4231066980462388,67121
2,rest,passive,align_recenter,10.548827614755364,0.4704992623851192,67121
3,rest,passive,align_recenter_rescale,9.504062167702452,0.5745926883486309,67121
