,task_source,task_target,method,mae,r2,random_state
3,rest,passive,align_recenter_rescale,7.377767248855932,0.7628552409702835,43001
4,rest,passive,align_procrustes_paired,5.25103635717372,0.8355898013624278,43001
5,rest,passive,dummy,15.766817472698905,0.0,43001
0,rest,passive,no_alignment,8.137975292262768,0.7111546436399034,76552
1,rest,passive,align_z_score,8.333794939384234,0.689391776567462,76552
2,rest,passive,align_recenter,7.846894657928099,0.7274835361373048,76552
3,rest,passive,align_recenter_rescale,7.687555724405208,0.7399280166060922,76552
4,rest,passive,align_procrustes_paired,4.615166800735559,0.8968694583524254,76552
5,rest,passive,dummy,15.814789391575664,0.0,76552
0,rest,passive,no_alignment,9.635372967001478,0.587740718668563,23897
1,rest,passive,align_z_score,7.963655002246037,0.7161330282550319,23897
2,rest,passive,align_recenter,7.742546263846894,0.7327665735697138,23897
3,rest,passive,align_recenter_rescale,7.461258243732056,0.7546755055278562,23897
4,rest,passive,align_procrustes_paired,5.0413224073372715,0.8772743928589061,23897
5,rest,passive,dummy,16.01622464898596,0.0,23897
0,rest,passive,no_alignment,7.538657984895268,0.7571562506203144,68148
1,rest,passive,align_z_score,8.036697522028861,0.7153818767144229,68148
2,rest,passive,align_recenter,7.349738966208655,0.76194537508303,68148
3,rest,passive,align_recenter_rescale,7.109304155014223,0.7764588032476629,68148
4,rest,passive,align_procrustes_paired,4.415321474397423,0.9055745787023198,68148
5,rest,passive,dummy,15.857301092043683,0.0,68148
0,rest,passive,no_alignment,9.24186979033288,0.632039032715486,23483
1,rest,passive,align_z_score,8.402256109402781,0.6873693000799972,23483
2,rest,passive,align_recenter,7.789647436150317,0.7324559654562195,23483
3,rest,passive,align_recenter_rescale,7.512303887436214,0.7507904212888304,23483
4,rest,passive,align_procrustes_paired,4.7661383583209975,0.848083358681847,23483
5,rest,passive,dummy,15.843026521060844,0.0,23483
0,rest,passive,no_alignment,8.587602822097534,0.6916763421701672,48555
1,rest,passive,align_z_score,7.9298939605519285,0.7252405261427884,48555
2,rest,passive,align_recenter,7.447243203130741,0.7537425077652475,48555
3,rest,passive,align_recenter_rescale,7.334182406707831,0.7651385445450212,48555
4,rest,passive,align_procrustes_paired,5.609369269717793,0.790705204217183,48555
5,rest,passive,dummy,15.980202808112326,0.0,48555
0,rest,passive,no_alignment,8.761086487096115,0.6637487536610817,17159
1,rest,passive,align_z_score,8.091017364040543,0.7188200671264515,17159
2,rest,passive,align_recenter,7.991303814395907,0.7279913004205204,17159
3,rest,passive,align_recenter_rescale,7.824866583273619,0.7401944631808726,17159
4,rest,passive,align_procrustes_paired,5.1106456830347655,0.8813263119777411,17159
