,scenario,parameter,method,mae,r2,random_state
32,Recenter,2.0,align_procrustes_paired,0.00034465312402917847,0.9999998813621366,8322
33,Recenter,2.0,align_procrustes,0.0033443732596397245,0.9999889625942318,8322
34,Recenter,2.0,dummy,1.0,0.0,8322
0,Recenter,0.0,no_alignment,0.0003108548036019331,0.9999999026635237,1685
1,Recenter,0.0,align_z_score,0.026763251439817108,0.999271459176562,1685
2,Recenter,0.0,align_recenter,0.0003108548036127897,0.9999999026635237,1685
3,Recenter,0.0,align_recenter_rescale,0.0003108548036171115,0.9999999026635237,1685
4,Recenter,0.0,align_procrustes_paired,0.0003108548036171175,0.9999999026635237,1685
5,Recenter,0.0,align_procrustes,0.0033249484676999962,0.999988962594232,1685
6,Recenter,0.0,dummy,1.0,0.0,1685
7,Recenter,0.5,no_alignment,0.3079874764458822,0.9050438047393082,1685
8,Recenter,0.5,align_z_score,0.21936857641296376,0.9513731285341157,1685
9,Recenter,0.5,align_recenter,0.008027990965983046,0.9999322246556607,1685
10,Recenter,0.5,align_recenter_rescale,0.008027990965987985,0.9999322246556606,1685
11,Recenter,0.5,align_procrustes_paired,0.00031085480363047104,0.9999999026635237,1685
12,Recenter,0.5,align_procrustes,0.003324948467614321,0.9999889625942319,1685
13,Recenter,0.5,dummy,1.0,0.0,1685
14,Recenter,1.0,no_alignment,0.39807948327637466,0.8407237697975929,1685
15,Recenter,1.0,align_z_score,0.31030476498870707,0.9055653727914246,1685
16,Recenter,1.0,align_recenter,0.020352338156714694,0.9995750626010943,1685
17,Recenter,1.0,align_recenter_rescale,0.02035233815672484,0.999575062601094,1685
18,Recenter,1.0,align_procrustes_paired,0.00031085480363974487,0.9999999026635237,1685
