,scenario,parameter,method,mae,r2,random_state
17,Recenter,1.0,align_recenter_rescale,0.01699310382617955,0.9996516796115185,4426
18,Recenter,1.0,align_procrustes,0.2013373852857285,0.9599367229107667,4426
19,Recenter,1.0,align_procrustes_paired,0.0033642576416882688,0.9999891291174163,4426
20,Recenter,1.0,dummy,1.0,-0.00031036268830808567,4426
21,Recenter,1.5,no_alignment,1.0601350258633737,-0.12001121670823722,4426
22,Recenter,1.5,align_z_score,5.544051318857242,-19.55683396595108,4426
23,Recenter,1.5,align_recenter,0.1351612427711622,0.9632726328170518,4426
24,Recenter,1.5,align_recenter_rescale,0.032594922207549774,0.9986883648142147,4426
25,Recenter,1.5,align_procrustes,0.2013373852862174,0.9599367229102035,4426
26,Recenter,1.5,align_procrustes_paired,0.003364257641684655,0.9999891291174164,4426
27,Recenter,1.5,dummy,1.0,-0.00031036268830808567,4426
28,Recenter,2.0,no_alignment,1.1260626879013955,-0.2530465748817461,4426
29,Recenter,2.0,align_z_score,5.875483016266657,-22.953474102979772,4426
30,Recenter,2.0,align_recenter,0.18511089843828193,0.9413437270216837,4426
31,Recenter,2.0,align_recenter_rescale,0.052092896209208164,0.9966521931718176,4426
32,Recenter,2.0,align_procrustes,0.20133738528576747,0.9599367229108579,4426
33,Recenter,2.0,align_procrustes_paired,0.003364257641737577,0.9999891291174163,4426
34,Recenter,2.0,dummy,1.0,-0.00031036268830808567,4426
0,Recenter,0.0,no_alignment,0.00352401683327613,0.9999878292817914,5578
1,Recenter,0.0,align_z_score,0.35124614025410283,0.8646144037150763,5578
2,Recenter,0.0,align_recenter,0.003524016833323726,0.9999878292817912,5578
3,Recenter,0.0,align_recenter_rescale,0.003524016833477701,0.9999878292817901,5578
4,Recenter,0.0,align_procrustes,0.18851347614499037,0.9697239805065413,5578
5,Recenter,0.0,align_procrustes_paired,0.003524016833494059,0.9999878292817902,5578
6,Recenter,0.0,dummy,1.0,-0.019262838437493324,5578
7,Recenter,0.5,no_alignment,0.45030708642331624,0.7300844071261048,5578
8,Recenter,0.5,align_z_score,1.8855116287214742,-1.465142241018162,5578
9,Recenter,0.5,align_recenter,0.03422312353562845,0.9927181418646652,5578
10,Recenter,0.5,align_recenter_rescale,0.007431686893548372,0.9999390514530302,5578
11,Recenter,0.5,align_procrustes,0.18851347614485273,0.9697239805065851,5578
12,Recenter,0.5,align_procrustes_paired,0.0035240168332673146,0.9999878292817919,5578
