,method,mae,r2,random_state
5,dummy,20.422535211267604,-0.06598294182553888,73969
6,align_recenter_rescale,12.616855949499916,0.42087085977532845,73969
7,dummy,20.422535211267604,-0.06598294182553888,73969
8,align_procrustes,19.192708280043487,-0.2513077203868195,73969
9,dummy,20.422535211267604,-0.06598294182553888,73969
0,no_alignment,16.68110283323337,0.0342954424719315,43001
1,dummy,20.422535211267604,-0.0800479929583977,43001
2,align_z_score,18.464180657124988,-0.16999289583769683,43001
3,dummy,20.422535211267604,-0.0800479929583977,43001
4,align_recenter,11.991409993112905,0.47698488383112014,43001
5,dummy,20.422535211267604,-0.0800479929583977,43001
6,align_recenter_rescale,12.02118020703347,0.46388541578956854,43001
7,dummy,20.422535211267604,-0.0800479929583977,43001
8,align_procrustes,18.77822504400484,-0.19390364361986867,43001
9,dummy,20.422535211267604,-0.0800479929583977,43001
0,no_alignment,15.13522166626782,0.1753398541959903,76552
1,dummy,20.079812206572768,-0.04886256386571186,76552
2,align_z_score,15.550219026177404,0.09631513298450944,76552
3,dummy,20.079812206572768,-0.04886256386571186,76552
4,align_recenter,12.200269452285918,0.4351839312242375,76552
5,dummy,20.079812206572768,-0.04886256386571186,76552
